08-07-2026 21:11:27 RAM 1983/7607MB (lfb 9x4MB) SWAP 0/3804MB (cached 0MB) CPU [33%@1728,32%@1728,30%@1728,33%@1728,34%@883,28%@883] GR3D_FREQ 0% cpu@51.468C soc2@50.062C soc0@50C gpu@50.937C tj@52.312C soc1@52.312C VDD_IN 8001mW/8001mW VDD_CPU_GPU_CV 1311mW/1311mW VDD_SOC 2941mW/2941mW
08-07-2026 21:11:32 RAM 2017/7607MB (lfb 9x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@806,37%@806,34%@806,36%@806,34%@729,33%@729] GR3D_FREQ 0% cpu@51.781C soc2@50.312C soc0@50.093C gpu@51.343C tj@52.218C soc1@52.218C VDD_IN 8160mW/8081mW VDD_CPU_GPU_CV 1391mW/1351mW VDD_SOC 2980mW/2961mW
08-07-2026 21:11:37 RAM 2027/7607MB (lfb 8x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,42%@1728,40%@1728,42%@1728,38%@729,38%@729] GR3D_FREQ 0% cpu@51.937C soc2@50.406C soc0@50.5C gpu@51.218C tj@52.718C soc1@52.718C VDD_IN 8120mW/8094mW VDD_CPU_GPU_CV 1391mW/1364mW VDD_SOC 2980mW/2967mW
08-07-2026 21:11:42 RAM 2034/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [42%@729,41%@729,42%@729,41%@729,34%@729,38%@729] GR3D_FREQ 0% cpu@52.156C soc2@50.625C soc0@50.562C gpu@51.625C tj@52.718C soc1@52.718C VDD_IN 8160mW/8110mW VDD_CPU_GPU_CV 1391mW/1371mW VDD_SOC 2980mW/2970mW
08-07-2026 21:11:47 RAM 2039/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,40%@729,40%@729,40%@729,37%@1728,40%@729] GR3D_FREQ 0% cpu@52.187C soc2@50.875C soc0@50.718C gpu@51.75C tj@52.968C soc1@52.968C VDD_IN 8160mW/8120mW VDD_CPU_GPU_CV 1391mW/1375mW VDD_SOC 2980mW/2972mW
08-07-2026 21:11:52 RAM 2039/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@729,41%@729,41%@729,41%@729,36%@729,38%@729] GR3D_FREQ 0% cpu@52.218C soc2@51C soc0@50.843C gpu@51.937C tj@53C soc1@53C VDD_IN 8160mW/8127mW VDD_CPU_GPU_CV 1391mW/1378mW VDD_SOC 2980mW/2974mW
08-07-2026 21:11:57 RAM 2041/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,41%@1728,40%@1728,40%@1728,36%@1728,40%@1728] GR3D_FREQ 0% cpu@52.562C soc2@51.312C soc0@50.937C gpu@51.968C tj@53.437C soc1@53.437C VDD_IN 8160mW/8132mW VDD_CPU_GPU_CV 1391mW/1380mW VDD_SOC 2980mW/2974mW
08-07-2026 21:12:02 RAM 2036/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,41%@729,39%@729,38%@729,38%@729,38%@729] GR3D_FREQ 0% cpu@52.656C soc2@51.343C soc0@51.156C gpu@52.062C tj@53.437C soc1@53.437C VDD_IN 8160mW/8135mW VDD_CPU_GPU_CV 1391mW/1381mW VDD_SOC 2980mW/2975mW
08-07-2026 21:12:07 RAM 2038/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@960,40%@960,40%@960,39%@960,37%@729,39%@729] GR3D_FREQ 0% cpu@52.906C soc2@51.5C soc0@51.312C gpu@52.187C tj@53.5C soc1@53.5C VDD_IN 8160mW/8138mW VDD_CPU_GPU_CV 1391mW/1382mW VDD_SOC 2980mW/2976mW
08-07-2026 21:12:12 RAM 2043/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,41%@1728,38%@1728,41%@1728,37%@1728,38%@1728] GR3D_FREQ 0% cpu@52.968C soc2@51.625C soc0@51.468C gpu@52.218C tj@53.656C soc1@53.656C VDD_IN 8160mW/8140mW VDD_CPU_GPU_CV 1430mW/1387mW VDD_SOC 2980mW/2976mW
08-07-2026 21:12:17 RAM 2040/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,39%@729,38%@729,38%@729,38%@1728,40%@1728] GR3D_FREQ 0% cpu@53.281C soc2@51.812C soc0@51.406C gpu@52.437C tj@53.718C soc1@53.718C VDD_IN 8160mW/8142mW VDD_CPU_GPU_CV 1430mW/1391mW VDD_SOC 2980mW/2976mW
